Order ID,Product Name,Category,Quantity,Price,Discount,Customer City,Delivery Time (mins),Order Date
1000,Cheese,Dairy,3,66.07,20%,Mumbai,32,2011-04-10
1001,Coca Cola,Beverages,2,182.66,20%,Chennai,44,2011-11-19
1002,Pepsi,Beverages,3,443.61,5%,Mumbai,51,2011-05-27
1003,Croissant,Bakery,4,217.93,0%,Chennai,15,2011-10-20
1004,Tomato,Fruits & Vegetables,2,329.82,10%,Pune,43,2011-03-21
1005,Soap,Personal Care,5,415.98,20%,Mumbai,33,2011-09-25
1006,Apple,Fruits & Vegetables,3,127.98,0%,Chennai,49,2011-02-12
1007,Soap,Personal Care,3,344.47,20%,Pune,34,2011-03-16
1008,Bun,Bakery,1,176.51,20%,Mumbai,43,2011-05-03
1009,Bun,Bakery,4,350.06,5%,Pune,24,2011-04-06
1010,Croissant,Bakery,2,304.84,10%,Kolkata,28,2011-04-18
1011,Popcorn,Snacks,3,303.97,10%,Bangalore,53,2011-10-27
1012,Banana,Fruits & Vegetables,1,473.42,15%,Ahmedabad,58,2011-12-12
1013,Juice,Beverages,5,59.95,20%,Hyderabad,15,2011-06-06
1014,Tomato,Fruits & Vegetables,5,206.15,5%,Kolkata,22,2011-09-25
1015,Soap,Personal Care,5,496.42,20%,Delhi,11,2011-12-06
1016,Shampoo,Personal Care,2,229.49,20%,Pune,38,2011-12-26
1017,Lays Chips,Snacks,4,352.06,15%,Delhi,38,2011-04-01
1018,Toothpaste,Personal Care,1,400.25,5%,Hyderabad,46,2011-04-14
1019,Dishwash,Household,3,178.84,10%,Chennai,38,2011-04-11
1020,Bun,Bakery,2,348.74,20%,Hyderabad,60,2011-04-20
1021,Lays Chips,Snacks,5,478.04,20%,Pune,44,2011-01-01
1022,Baby Lotion,Baby Care,5,427.05,15%,Mumbai,12,2011-09-14
1023,Tomato,Fruits & Vegetables,2,112.47,0%,Mumbai,34,2011-08-07
1024,Kurkure,Snacks,3,60.25,20%,Kolkata,37,2011-11-23
1025,Dishwash,Household,2,169.86,5%,Delhi,49,2011-06-23
1026,Milk,Dairy,3,248.64,15%,Bangalore,13,2011-10-24
1027,Curd,Dairy,3,419.9,10%,Bangalore,59,2011-03-02
1028,Soap,Personal Care,4,336.75,15%,Ahmedabad,11,2011-05-13
1029,Diapers,Baby Care,4,103.58,10%,Chennai,14,2011-01-01
1030,Coca Cola,Beverages,1,85.05,10%,Ahmedabad,17,2011-11-17
1031,Water Bottle,Beverages,1,77.43,10%,Kolkata,45,2011-03-18
1032,Curd,Dairy,2,31.34,10%,Bangalore,49,2011-05-24
